ticker,company,name,name_count,women_count,excess,total_board,men_count,unknown_count,all_men_with_name,women_names,all_board_names
GED,GOLDEN DEEPS LIMITED.,Michael,3,0,3,4,4,0,"Michael Norburn, Michael Rodriguez, Michael Scivolo",(none),Jon Dugdale (M) | Michael Norburn (M) | Michael Rodriguez (M) | Michael Scivolo (M)
USL,UNICO SILVER LIMITED,Peter,3,1,2,6,5,0,"Peter Canterbury, Peter Holmes, Peter Mullens",Melanie Leydin,Todd Williams (M) | Peter Canterbury (M) | Peter Holmes (M) | Jose Bordogna (M) | Melanie Leydin (F) | Peter Mullens (M)
AEG,ALAND EQUITY GROUP LIMITED,Alex,2,0,2,5,5,0,"Alex Brinkmeyer, Alex Baird",(none),Alex Brinkmeyer (M) | David Nolan (M) | David Tildesley (M) | Alex Baird (M) | Albert Wong (M)
1AI,ALGORAE PHARMACEUTICALS LIMITED,David,2,0,2,3,3,0,"David Hainsworth, David Gulland",(none),David Hainsworth (M) | Bradley Dilkes (M) | David Gulland (M)
ANX,ANAX METALS LIMITED,Phillip,2,0,2,4,4,0,"Phillip Jackson, Phillip Warren",(none),Phillip Jackson (M) | Geoff Laing (M) | Peter Cordin (M) | Phillip Warren (M)
AVR,ANTERIS TECHNOLOGIES GLOBAL CORP.,David,2,0,2,6,6,0,"David Lawrence St Denis, David Roberts",(none),John Seaberg (M) | David Denis (M) | Wayne Paterson (M) | Stephen Denaro (M) | Gregory Moss (M) | David Roberts (M)
AA2,ARIANA RESOURCES PLC,Michael,2,0,2,7,6,1,"Michael John de Villiers, Michael William Atkins",(none),Michael Villiers (M) | Michael Atkins (M) | Ahmet Sener (?) | Andrew Toit (M) | Nicholas Graham (M) | William Payne (M) | Christopher Sangster (M)
AR1,AUSTRAL RESOURCES AUSTRALIA LTD,David,2,0,2,6,6,0,"David Newling, David Quinlivan",(none),David Newling (M) | Michael Hansel (M) | Daniel Jauncey (M) | Neil Meadows (M) | David Quinlivan (M) | Sean Westbrook (M)
ASQ,AUSTRALIAN SILICA QUARTZ GROUP LTD,Robert,2,0,2,5,5,0,"Robert Nash, Robert Samuel Middlemas",(none),Robert Nash (M) | Robert Middlemas (M) | Luke Atkins (M) | Neil Lithgow (M) | Zhaozhong Wang (M)
AVW,AVIRA RESOURCES LTD,David,2,0,2,3,3,0,"David Wheeler, David Deloub",(none),David Wheeler (M) | James Robinson (M) | David Deloub (M)
BMR,BALLYMORE RESOURCES LIMITED,Andrew,2,0,2,4,4,0,"Andrew Greville, Andrew Nicholas Gilbert",(none),Andrew Greville (M) | David A-Izzeddin (M) | Andrew Gilbert (M) | Nicholas Jorss (M)
BAK,BARKLY RARE EARTHS LIMITED,Gavin,2,0,2,4,4,0,"Gavin John Lockyer, Gavin Andrew Beer",(none),Gavin Lockyer (M) | Craig Wright (M) | Gavin Beer (M) | Rene Sterk (M)
BMG,BMG RESOURCES LIMITED,John,2,0,2,4,4,0,"John Prineas, John Dawson",(none),John Prineas (M) | Benjamin Pollard (M) | John Dawson (M) | Gregory Hancock (M)
CBE,COBRE LIMITED,Michael,2,0,2,5,5,0,"Michael John Addison, Michael McNeilly",(none),Martin Holland (M) | Adam Wooldrdidge (M) | Michael Addison (M) | Michael McNeilly (M) | Andrew Sissian (M)
CR3,CORE ENERGY MINERALS LTD,Christopher,2,0,2,4,4,0,"Christopher Gale, Christopher Wiener",(none),Christopher Gale (M) | Anthony Greenaway (M) | David Vilensky (M) | Christopher Wiener (M)
CLX,CTI LOGISTICS LIMITED,David,2,0,2,7,7,0,"David Watson, David Mellor",(none),David Watson (M) | David Mellor (M) | Bruce Saxild (M) | Owen Venter (M) | Matthew Watson (M) | William Moncrieff (M) | Roger Port (M)
DEM,DE.MEM LIMITED,Andreas,2,0,2,5,5,0,"Andreas Kroell, Andreas Hendrik de Wit",(none),Andreas Kroell (M) | Daniel Conlon (M) | Bernd Dautel (M) | Michael Edwards (M) | Andreas Wit (M)
